assertion_id,requirement_id,source_requirement,assertion,implementation_owner,enforcement_location,implementation_disposition,required_artifact_or_record,candidate_artifacts,verification_method,reference_tests,evidence_class,remaining_dependency,owner_review,source_sections,not_applicable
MODEL-001.A07,MODEL-001,"Every network SHALL resolve to one Security Domain Instance, one logical domain, one zone class, one address authority and one accountable owner; shared-domain lifecycle SHALL use explicit dependency references.",Shared-domain dependencies explicitly recorded,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Shared-domain dependencies explicitly recorded",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-017; CT-025; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
MODEL-002.A01,MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.","Complete source obligation; all applicable clauses must be satisfied: Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-008; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
MODEL-002.A02,MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",Service-consumption boundary,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Service-consumption boundary",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-008; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
MODEL-002.A03,MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",Platform-control boundary,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Platform-control boundary",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-008; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
MODEL-002.A04,MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",Privileged-management boundary,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Privileged-management boundary",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-008; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
MODEL-002.A05,MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",OOB transport dependency,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: OOB transport dependency",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-008; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
MODEL-002.A06,MODEL-002,"Provider service consumption, platform control, privileged management and OOB transport SHALL be modeled separately; a shared service SHALL NOT create implicit authority over another plane.",No implicit cross-plane authority,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: No implicit cross-plane authority",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-008; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §3; RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-001.A01,TEN-001,Cross-tenant routing SHALL be denied by default even when two tenants use the same zone class.,Complete source obligation; all applicable clauses must be satisfied: Cross-tenant routing SHALL be denied by default even when two tenants use the same zone class.,Automation platform,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Complete source obligation; all applicable clauses must be satisfied: Cross-tenant routing SHALL be denied by default even when two tenants use the same zone class.,terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-001; CT-002; CT-019,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-002.A01,TEN-002,"Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.","Complete source obligation; all applicable clauses must be satisfied: Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",Automation platform,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,"Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Complete source obligation; all applicable clauses must be satisfied: Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-002.A02,TEN-002,"Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",Tenant cannot mutate provider management,Automation platform,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Tenant cannot mutate provider management,terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-002.A03,TEN-002,"Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",Tenant cannot mutate security-edge infrastructure,Automation platform,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Tenant cannot mutate security-edge infrastructure,terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-002.A04,TEN-002,"Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",Tenant cannot mutate fabric,Automation platform,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Tenant cannot mutate fabric,terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-002.A05,TEN-002,"Tenant administrators SHALL NOT have authority to modify provider management, security-edge infrastructure, physical fabric, or another tenant namespace.",Tenant cannot mutate another tenant,Automation platform,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Tenant cannot mutate another tenant,terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-003.A01,TEN-003,"Tenant ownership, entitlements and role bindings SHALL be versioned and auditable; suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.","Complete source obligation; all applicable clauses must be satisfied: Tenant ownership, entitlements and role bindings SHALL be versioned and auditable; suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.",Service owner,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,"Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Complete source obligation; all applicable clauses must be satisfied: Tenant ownership, entitlements and role bindings SHALL be versioned and auditable; suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.",terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-057; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-003.A02,TEN-003,"Tenant ownership, entitlements and role bindings SHALL be versioned and auditable; suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.","Tenant ownership, entitlements and role bindings SHALL be versioned and auditable",Service owner,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,"Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: Tenant ownership, entitlements and role bindings SHALL be versioned and auditable",terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-057; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
TEN-003.A03,TEN-003,"Tenant ownership, entitlements and role bindings SHALL be versioned and auditable; suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.",suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.,Service owner,Selected native domain/gateway/mandatory-policy scope plus independently owned EC/SE security edge,CANDIDATE_PARTIAL_NATIVE_CONFIGURATION_WITH_EXTERNAL_EDGE_REQUIRED,Exact accepted native rule/route/attachment configuration and authority record for the assertion; packet/control-plane observations from both sides — specifically: suspension SHALL specify permitted recovery/containment actions and SHALL NOT imply indiscriminate workload deletion.,terraform/modules; tools/route_audit.py; docs/NATIVE_READBACK.md,"Use the named CT procedure with healthy endpoints; inspect native connected/distributed alternatives, effective rules and forward/reply behaviour, including relevant failure.",CT-019; CT-057; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","A prepared VPC/Tier-1/router, exact static route or readback projection does not implement the entire ZIP, native tenant-role policy, isolation, inspection or HA.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-001.A01,WSD-001,Every managed workload SHALL belong to a WSD or an explicitly documented equivalent lifecycle object.,Complete source obligation; all applicable clauses must be satisfied: Every managed workload SHALL belong to a WSD or an explicitly documented equivalent lifecycle object.,Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Every managed workload SHALL belong to a WSD or an explicitly documented equivalent lifecycle object.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-017; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-002.A01,WSD-002,The WSD SHALL contain security and connectivity intent; it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.,Complete source obligation; all applicable clauses must be satisfied: The WSD SHALL contain security and connectivity intent; it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.,Automation platform,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: The WSD SHALL contain security and connectivity intent; it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-002.A02,WSD-002,The WSD SHALL contain security and connectivity intent; it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.,The WSD SHALL contain security and connectivity intent,Automation platform,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: The WSD SHALL contain security and connectivity intent",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-002.A03,WSD-002,The WSD SHALL contain security and connectivity intent; it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.,it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.,Automation platform,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: it SHALL NOT contain vendor-specific infrastructure identifiers in the consumer contract.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-017,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-003.A01,WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.","Complete source obligation; all applicable clauses must be satisfied: A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-062; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-003.A02,WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Compute dependency,Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Compute dependency",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-062; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-003.A03,WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Storage dependency,Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Storage dependency",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-062; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-003.A04,WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Identity dependency,Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Identity dependency",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-062; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-003.A05,WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Backup dependency,Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Backup dependency",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-062; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
WSD-003.A06,WSD-003,"A WSD SHALL declare compute, storage, identity, backup, recovery, exposure and evidence dependencies in addition to network intent; unresolved mandatory dependencies SHALL block Service Ready.",Recovery dependency,Service owner,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Recovery dependency",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-062; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §7,Not selected; explicit scope rationale and authority required before any N/A disposition
