requirementId,text,ownerRole,parentSections,supplementHomes,sourceIds,baselineTests,wordingDisposition,executionStatus
FAB-003,"Function names such as backup, migration, platform, ZIP, or generic transit SHALL NOT by themselves justify a VRF.",Architecture authority,RA §5,NET §1; NET §2; NET §5,S00,CT-025; CT-072,Unchanged from v1.2,"Specified, not executed by this release"
FAB-004,"The fabric profile SHALL define addressing/routing authority, control-plane protection, MTU, fault convergence, management isolation, maintenance and measured scale before platform commissioning.",Network engineering,RA §5,NET §1; NET §2; NET §5,S20; S21; S22,CT-026; CT-032; CT-033; CT-034,Unchanged from v1.2,"Specified, not executed by this release"
EVPN-001,"When EVPN is used, RD/RT/VNI, gateway and multihoming policies SHALL be provider-owned, collision-checked and domain-scoped; unapproved route imports SHALL be denied.",Network engineering,RA §5,NET §1; NET §2; NET §5,S20; S21; S22,CT-009; CT-033; CT-072,Unchanged from v1.2,"Specified, not executed by this release"
EVPN-002,"Every multihoming and border interoperability profile SHALL be tested for split-brain, link/peer failure, MTU, route withdrawal and stateful-path behavior; vendor-specific MLAG interoperability SHALL NOT be assumed.",Network engineering,RA §5,NET §1; NET §2; NET §5,S21; S22,CT-024; CT-032; CT-034,Unchanged from v1.2,"Specified, not executed by this release"
PORT-001,Every platform SHALL publish a machine-readable capability profile and a tested implementation profile.,Platform engineering,RA §15; RA §28,QUAL §5; QUAL §6; VND §1; VND §6; VND §7,S00,CT-015; CT-018; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
PORT-002,A placement decision SHALL fail rather than silently reduce a requested security or availability capability.,Automation platform,RA §15; RA §28,QUAL §5; QUAL §6; VND §1; VND §6; VND §7,S00,CT-018; CT-061,Unchanged from v1.2,"Specified, not executed by this release"
PORT-003,Platform-specific features MAY be exposed as optional extensions provided the WSD declares the dependency and portability impact.,Architecture authority,RA §15; RA §28,QUAL §5; QUAL §6; VND §1; VND §6; VND §7,S00,CT-016; CT-060; CT-073,Unchanged from v1.2,"Specified, not executed by this release"
QUAL-001,"Production placement SHALL require a current qualified PlatformProfile containing the exact product/API/provider/hardware tuple, applicable features/licenses, tested limits, evidence and approval; a candidate or documentation snapshot SHALL be ineligible.",Security authority,RA §15; RA §28,QUAL §5; QUAL §6; VND §1; VND §6; VND §7,S00,CT-015; CT-018; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
NUT-001,New Nutanix automation SHOULD use current supported v2/v4-backed provider resources where those resources satisfy the requirement; legacy resources require an explicit compatibility rationale.,Platform engineering,RA §16,VND §3,S00; S17,CT-015; CT-018,Unchanged from v1.2,"Specified, not executed by this release"
NUT-002,Nutanix VPC internal routing SHALL NOT be used to bypass a required inter-zone ZIP.,Platform engineering,RA §16,VND §3,S00,CT-003; CT-023; CT-024,Unchanged from v1.2,"Specified, not executed by this release"
NUT-003,Provider-managed categories/metadata used for security SHALL be protected from tenant modification.,Platform engineering,RA §16,VND §3,S00,CT-020; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
NUT-004,"The Nutanix profile SHALL qualify the actual AOS/Prism/Flow/provider tuple and external-attachment behavior; unresolved licensing, routing, policy precedence or asynchronous realization limitations SHALL block the affected capability.",Platform engineering,RA §16,VND §3,S17,CT-015; CT-023; CT-045; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
NSX-001,An NSX implementation SHALL keep tenant/project policy distinct from provider/global management and security policy.,Platform engineering,RA §17,VND §4,S00,CT-019; CT-020; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
NSX-002,Gateway policy used for zone transitions SHALL be generated from portable Flow/ZIP intent rather than manually duplicated per workload.,Platform engineering,RA §17,VND §4,S00,CT-003; CT-007; CT-009,Unchanged from v1.2,"Specified, not executed by this release"
NSX-003,"The NSX profile SHALL identify actual routing and enforcement components, global/project authority and policy precedence, and SHALL qualify their behavior on the selected product/provider tuple rather than equating a Tier-1 or project with a ZIP.",Platform engineering,RA §17,VND §4,S18,CT-003; CT-015; CT-024; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
OS-001,Default OpenStack security-group behaviour SHALL be reviewed and normalized to the secure-by-default service baseline.,Platform engineering,RA §18,VND §5,S00,CT-005; CT-021; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
OS-002,Provider networks and external-router capabilities SHALL remain provider controlled and SHALL not become unrestricted tenant escape paths.,Platform engineering,RA §18,VND §5,S00,CT-019; CT-022; CT-023,Unchanged from v1.2,"Specified, not executed by this release"
OS-003,"The OpenStack profile SHALL record distribution, service/API versions, Neutron backend/extensions and provider authority over external/port-security operations; native routing or editable security groups SHALL NOT be assumed to satisfy all ZIP functions.",Platform engineering,RA §18,VND §5,S19,CT-015; CT-018; CT-022; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
FUT-001,A new platform SHALL pass the applicable conformance suite before it is approved for production placement.,Platform engineering,RA §19,QUAL §8,S00,CT-015; CT-018; CT-065; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
FUT-002,A platform SHALL declare unsupported capabilities explicitly; unsupported capabilities SHALL NOT be emulated by weakening a mandatory control.,Platform engineering,RA §19,QUAL §8,S00,CT-018; CT-065,Unchanged from v1.2,"Specified, not executed by this release"
FUT-003,"Bare-metal and container profiles SHALL explicitly qualify host/control-plane, network, storage and lifecycle isolation; namespaces, projects and physical VRFs SHALL NOT alone be accepted as evidence of a complete security boundary.",Platform engineering,RA §19,QUAL §8,S25; S26,CT-035; CT-037; CT-059; CT-065; CT-072,Unchanged from v1.2,"Specified, not executed by this release"
API-001,The portable API SHALL be versioned and backward-compatibility rules SHALL be published.,Automation platform,RA §23; RA §24,PROV §3; PROV §4; PROV §5; VND §1,S00,CT-016; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
API-002,"Vendor identifiers, VLAN/VNI/VRF details, route targets, raw firewall rules and raw next-hop routes SHALL NOT be part of the normal consumer contract.",Automation platform,RA §23; RA §24,PROV §3; PROV §4; PROV §5; VND §1,S00,CT-017; CT-019,Unchanged from v1.2,"Specified, not executed by this release"
API-003,"Where a consumer-facing provisioning API is provided, it SHALL enforce immutable IDs, idempotent create, optimistic concurrency, typed/closed schemas, authorized references and authoritative service-owned status; stale or unauthorized updates SHALL fail before side effects. These controls MAY be implemented by an existing qualified service interface.",Automation platform,RA §23; RA §24,PROV §3; PROV §4; PROV §5; VND §1,S00,CT-017; CT-046; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
POL-001,Admission policy SHALL be provider independent wherever the rule expresses an architectural invariant.,Automation platform,RA §20; RA §23,PROV §1; PROV §4; VND §1,S00,CT-017; CT-025; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
POL-002,Provider-specific plan checks SHOULD validate that the adapter compiled the intent into the expected native constructs.,Automation platform,RA §20; RA §23,PROV §1; PROV §4; VND §1,S00,CT-009; CT-048; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
FLOW-001,"Flow Intentions SHALL resolve explicit identities, service/profile version, initiation direction, lifetime, purpose and logging; compilation SHALL preserve mandatory policy precedence and enforce approved session-revocation behavior.",Security-edge operations,RA §20; RA §23,PROV §1; PROV §4; VND §1,S00,CT-007; CT-020; CT-066; CT-077,Unchanged from v1.2,"Specified, not executed by this release"
AUTO-001,"If security admission, IPAM, route authority, or mandatory policy validation is unavailable, new provisioning SHALL stop rather than inventing or bypassing required state.",Automation platform,RA §23; RA §24,PROV §3; PROV §4; PROV §5; VND §1,S00,CT-011; CT-029; CT-045,Unchanged from v1.2,"Specified, not executed by this release"
AUTO-002,"Provisioning SHALL be journaled and idempotent, reserve only eligible capacity/addresses, enforce deny before attachment/exposure, and gate activation on realized current-generation evidence and authorization.",Automation platform,RA §23; RA §24,PROV §3; PROV §4; PROV §5; VND §1,S00,CT-045; CT-046; CT-048; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
AUTO-003,"Retries SHALL distinguish transient, permanent and conflict failures, use bounded backoff/deadlines and preserve resource identity; uncertain outcomes SHALL be discovered and reconciled rather than duplicated.",Automation platform,RA §23; RA §24,PROV §3; PROV §4; PROV §5; VND §1,S00,CT-045; CT-046; CT-047,Unchanged from v1.2,"Specified, not executed by this release"
TF-001,Provider configuration SHALL be defined in root modules and passed to child modules; reusable child modules SHOULD NOT embed provider credentials/configuration.,Automation platform,RA §24,PROV §3; PROV §5,S00; S13,CT-042; CT-043,Unchanged from v1.2,"Specified, not executed by this release"
TF-002,Provider versions SHALL be constrained and dependency lock files SHALL be committed and reviewed.,Automation platform,RA §24,PROV §3; PROV §5,S00; S14,CT-015; CT-042; CT-048,Unchanged from v1.2,"Specified, not executed by this release"
TF-003,The provisioning workflow SHALL select the required hosting-platform and shared-service adapters before execution; adapters SHALL preserve their authority and lifecycle boundaries. A single giant conditional module SHOULD NOT attempt to implement all platforms.,Automation platform,RA §24,PROV §3; PROV §5,S00,CT-016; CT-044,Unchanged from v1.2,"Specified, not executed by this release"
TF-004,Module interfaces SHOULD be relatively flat and composable; deeply nested modules that obscure lifecycle or ownership boundaries SHOULD be avoided.,Automation platform,RA §24,PROV §3; PROV §5,S00,CT-044; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
TF-005,Remote module sources and runner images SHALL be pinned to immutable versions/digests separately from provider lockfiles; approved package checksums and provenance SHALL be verified before privileged execution.,Automation platform,RA §24,PROV §3; PROV §5,S14,CT-042; CT-048,Unchanged from v1.2,"Specified, not executed by this release"
STATE-001,"No single routine tenant automation identity SHALL have authority to modify physical fabric, management foundation, security edge, and tenant workloads simultaneously.",Automation platform,RA §24,PROV §3; PROV §5,S00,CT-019; CT-044,Unchanged from v1.2,"Specified, not executed by this release"
STATE-002,"Remote state backends SHALL use encryption, strong authentication, locking, recovery/versioning, access logging, and separation appropriate to the sensitivity of contained data.",Automation platform,RA §24,PROV §3; PROV §5,S00,CT-043; CT-044; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
STATE-003,"Cross-state/external-service changes SHALL use a journaled dependency workflow with scoped outputs, idempotent stage completion and data-safe compensation; state-file restoration SHALL NOT be represented as infrastructure rollback.",Automation platform,RA §24,PROV §3; PROV §5,S00,CT-044; CT-045; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
CICD-001,"A change that modifies inter-zone policy, external exposure, route authority, management access, or assurance profile SHALL receive a higher change classification than an ordinary workload scale operation.",Change authority,RA §24,PROV §3; PROV §5,S00,CT-048; CT-058,Unchanged from v1.2,"Specified, not executed by this release"
CICD-002,"An approval SHALL bind the immutable plan and all security-relevant input/policy/state/dependency digests; stale, changed or expired artifacts SHALL be rejected at apply.",Automation platform,RA §24,PROV §3; PROV §5,S00,CT-042; CT-048,Unchanged from v1.2,"Specified, not executed by this release"
SUP-001,"Privileged software/provider/module supply chains SHALL use approved sources, integrity verification, revocation and a compromise-response procedure covering already-executed artifacts and credentials.",Automation platform,RA §24,PROV §3; PROV §5,S05; S14,CT-041; CT-042; CT-057,Unchanged from v1.2,"Specified, not executed by this release"
SEC-001,Static privileged provider credentials SHALL NOT be embedded in Terraform source code.,Automation platform,RA §13; RA §24,PROV §3; PROV §5; SVC §3,S00,CT-043,Unchanged from v1.2,"Specified, not executed by this release"
SEC-002,Automation identities SHALL use least privilege and separate duties by control domain.,Automation platform,RA §13; RA §24,PROV §3; PROV §5; SVC §3,S00,CT-019; CT-044; CT-079,Unchanged from v1.2,"Specified, not executed by this release"
SEC-003,"Credential rotation, revocation, and break-glass recovery SHALL be tested as part of the platform operational profile.",Automation platform,RA §13; RA §24,PROV §3; PROV §5; SVC §3,S00,CT-027; CT-028; CT-043,Unchanged from v1.2,"Specified, not executed by this release"
SEC-004,"Where supported and verified, sensitive values SHOULD use ephemeral/write-only mechanisms; all remaining secret-bearing plan/state/log artifacts SHALL be classified, encrypted, access-controlled and tested for unintended disclosure.",Automation platform,RA §13; RA §24,PROV §3; PROV §5; SVC §3,S15; S16,CT-043; CT-044,Unchanged from v1.2,"Specified, not executed by this release"
DRIFT-001,Security-significant drift SHALL generate an actionable event and update technical conformance/readiness conditions until resolved or accepted; formal authorization records SHALL remain separately attributable and immutable.,Operations/SRE,RA §25,PROV §5; PROV §6,S00; S05,CT-014; CT-049; CT-057,Unchanged from v1.2,"Specified, not executed by this release"
DRIFT-002,Emergency changes SHALL be reconciled back into the source of truth after the incident or maintenance action.,Operations/SRE,RA §25,PROV §5; PROV §6,S00,CT-014; CT-057,Unchanged from v1.2,"Specified, not executed by this release"
DRIFT-003,Incident containment overrides SHALL take precedence over ordinary reconciliation until explicitly released or handled by their approved expiry policy; automated repair SHALL NOT silently undo containment.,Incident response,RA §25,PROV §5; PROV §6,S00,CT-057; CT-058; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
ASSUR-001,Assurance profile selection SHALL be based on system security requirements and risk analysis rather than tenant preference alone.,Security authority,RA §7; RA §11; RA §12; RA §14,QUAL §3; QUAL §4; SVC §4; SVC §5; SVC §6; VND §1; VND §2,S00; S03; S05,CT-035; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
ASSUR-002,"Assurance profiles SHALL define explicit isolation for compute, storage, routing, edge, management, backup and keys, with measurable verification and exception rules; “dedicated” SHALL identify its actual resource scope.",Security authority,RA §7; RA §11; RA §12; RA §14,QUAL §3; QUAL §4; SVC §4; SVC §5; SVC §6; VND §1; VND §2,S03; S05,CT-018; CT-035; CT-037; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
ASSUR-003,"A production profile SHALL have approved parameter values, owners, applicable test sets and evidence freshness limits; incomplete or expired profiles SHALL be ineligible for new production placement.",Security authority,RA §7; RA §11; RA §12; RA §14,QUAL §3; QUAL §4; SVC §4; SVC §5; SVC §6; VND §1; VND §2,S00,CT-018; CT-058; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
TEST-001,Negative tests SHALL be first-class acceptance criteria; proving that an allowed flow works is insufficient.,Assurance engineering,RA §28,QUAL §5; QUAL §6,S00,CT-001; CT-002; CT-003; CT-007,Unchanged from v1.2,"Specified, not executed by this release"
TEST-002,A platform upgrade SHALL trigger an appropriate regression/conformance test set before broad production rollout.,Assurance engineering,RA §28,QUAL §5; QUAL §6,S00,CT-015; CT-018,Unchanged from v1.2,"Specified, not executed by this release"
TEST-003,"Every test execution SHALL record target versions, preconditions, healthy control paths, observation, expected outcome and attributable evidence; blocked, not-run or unjustified not-applicable results SHALL NOT satisfy mandatory gates.",Assurance engineering,RA §28,QUAL §5; QUAL §6,S00,CT-049; CT-069; CT-075,Unchanged from v1.2,"Specified, not executed by this release"
TEST-004,"Fault-injection and intrusive negative tests SHALL run only within an approved scope, safety envelope and recovery procedure; production testing SHALL protect unrelated tenants.",Assurance engineering,RA §28,QUAL §5; QUAL §6,S00,CT-011; CT-012; CT-034; CT-054,Unchanged from v1.2,"Specified, not executed by this release"
EVID-001,"The evidence record SHALL identify the source revision, policy version, provider/module versions, realized security relationships, test results, and active exceptions.",Assurance engineering,RA §26; RA §28,QUAL §3; QUAL §5; QUAL §6; QUAL §7,S00,CT-049; CT-069; CT-075,Unchanged from v1.2,"Specified, not executed by this release"
EVID-002,"Evidence SHALL bind target generation, source/profile/capability/dependency digests, artifact integrity, collection time, test executions and active exceptions; freshness SHALL be evaluated after material changes.",Assurance engineering,RA §26; RA §28,QUAL §3; QUAL §5; QUAL §6; QUAL §7,S05; S11,CT-048; CT-049; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
EVID-003,"Formal authorization decisions SHALL be issued by the designated authority and retained separately from technical test status, with scope, validity and operating conditions that the controller can evaluate.",Security authority,RA §26; RA §28,QUAL §3; QUAL §5; QUAL §6; QUAL §7,S04; S05,CT-049; CT-058; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
OBS-001,"Logs SHALL contain stable identifiers sufficient to correlate tenant, WSD, Security Domain, policy, and deployment evidence.",Security operations,RA §26,QUAL §3; QUAL §7,S00,CT-010; CT-049,Unchanged from v1.2,"Specified, not executed by this release"
OBS-002,Security control logging SHALL not depend solely on the tenant workload being healthy or cooperative.,Security operations,RA §26,QUAL §3; QUAL §7,S00,CT-010; CT-050,Unchanged from v1.2,"Specified, not executed by this release"
OBS-003,"Logging profiles SHALL define event coverage, attribution, time integrity, minimization, forwarding latency, buffering, loss alerting, retention, access and safe behavior during collection failure.",Security operations,RA §26,QUAL §3; QUAL §7,S11,CT-010; CT-050; CT-068,Unchanged from v1.2,"Specified, not executed by this release"
CAP-001,Capacity planning SHALL include N+failure headroom so that loss of a security-edge node does not require disabling or bypassing enforcement.,Capacity management,RA §4; RA §26,NET §2; QUAL §2; QUAL §3; QUAL §7,S00,CT-012; CT-056,Unchanged from v1.2,"Specified, not executed by this release"
CAP-002,"Placement and growth admission SHALL evaluate measured surviving capacity, security-feature overhead, shared dependencies, quotas and operational reserves for the approved failure model.",Capacity management,RA §4; RA §26,NET §2; QUAL §2; QUAL §3; QUAL §7,S00,CT-039; CT-047; CT-056,Unchanged from v1.2,"Specified, not executed by this release"
CAP-003,"Capacity reporting SHALL distinguish procured, received, commissioned, allocated, reserved and consumed capacity and identify unused-capacity age, constraints and accountable remediation.",Service management,RA §4; RA §26,NET §2; QUAL §2; QUAL §3; QUAL §7,S28,CT-074,Unchanged from v1.2,"Specified, not executed by this release"
FAIL-001,Control-plane failure SHALL NOT create an implicit permit path.,Platform operations,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-011; CT-012; CT-024; CT-052,Unchanged from v1.2,"Specified, not executed by this release"
FAIL-002,Failover and control-plane-loss scenarios SHALL be included in platform conformance testing.,Assurance engineering,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-011; CT-012; CT-027; CT-038; CT-050; CT-054; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
FAIL-003,"Every critical dependency SHALL have a qualified loss/partition/recovery behavior, including credential/key continuity, logging loss, state recovery and split-brain prevention; unavailable authority SHALL NOT authorize fallback bypass.",Platform operations,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-027; CT-038; CT-044; CT-050; CT-054; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
REC-001,"Recovery procedures SHALL include independent bootstrap access, protected key/state/catalog recovery, dependency ordering, writer fencing, isolated validation and attributable activation authority.",Continuity management,RA §21; RA §27,PROV §2; PROV §6; SVC §4; SVC §6,S00,CT-052; CT-054; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
REC-002,"Recovery and failback exercises SHALL measure actual service RTO/RPO, data consistency and security outcomes and SHALL remove temporary routes, grants and exposures after authorized completion.",Continuity management,RA §21; RA §27,PROV §2; PROV §6; SVC §4; SVC §6,S00,CT-052; CT-054; CT-055; CT-060,Unchanged from v1.2,"Specified, not executed by this release"
VULN-001,"All platform and automation assets SHALL have version/support inventory, vulnerability ownership, risk-based remediation targets, exception handling and retirement decisions.",Vulnerability management,RA §25,PROV §5; PROV §6,S05; S07,CT-041; CT-042; CT-074,Unchanged from v1.2,"Specified, not executed by this release"
VULN-002,"Security updates SHALL use trusted artifacts, compatibility/regression evidence, phased promotion and a tested recovery strategy; unsupported or vulnerable templates SHALL be controlled at new-deployment admission.",Platform engineering,RA §25,PROV §5; PROV §6,S07,CT-015; CT-040; CT-041; CT-042,Unchanged from v1.2,"Specified, not executed by this release"
IR-001,Emergency containment SHALL be possible without requiring a physical-fabric redesign or broad outage to unrelated tenants.,Incident response,RA §25; RA §27,PROV §5; PROV §6; SVC §4; SVC §6,S00,CT-057; CT-067,Unchanged from v1.2,"Specified, not executed by this release"
IR-002,"Incident procedures SHALL define authority, scoped containment, evidence custody, coordination, recovery acceptance and reconciliation of emergency changes; containment release SHALL be explicit and attributable.",Incident response,RA §25; RA §27,PROV §5; PROV §6; SVC §4; SVC §6,S12,CT-049; CT-057; CT-058; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
LIFE-001,Offboarding SHALL remove obsolete routes and policy objects and SHALL produce evidence of completion.,Service management,RA §27,PROV §6; SVC §4; SVC §6,S00,CT-013; CT-059; CT-070,Unchanged from v1.2,"Specified, not executed by this release"
LIFE-002,"Retirement SHALL distinguish live-service removal from retained-data obligations and SHALL verify identity, DNS, route, policy, attachment, copy and key lifecycle without deleting shared or held resources.",Service management,RA §27,PROV §6; SVC §4; SVC §6,S27,CT-013; CT-053; CT-059; CT-070; CT-078,Unchanged from v1.2,"Specified, not executed by this release"
LIFE-003,Sanitization SHALL use an approved media-appropriate method with copy/key-scope evidence; deletion of a resource record SHALL NOT alone constitute proof of data destruction.,Data owner,RA §27,PROV §6; SVC §4; SVC §6,S27,CT-053; CT-059,Unchanged from v1.2,"Specified, not executed by this release"
MIG-001,Migration connectivity SHALL be time-bound unless explicitly converted to an approved steady-state connection.,Migration owner,RA §27,PROV §6; SVC §4; SVC §6,S00,CT-058; CT-060; CT-076,Unchanged from v1.2,"Specified, not executed by this release"
MIG-002,Migration flows SHALL traverse an approved security edge when they cross security-domain boundaries.,Migration owner,RA §27,PROV §6; SVC §4; SVC §6,S00,CT-003; CT-060,Unchanged from v1.2,"Specified, not executed by this release"
MIG-003,"Migration and exit rehearsals SHALL validate data/application consistency, identity/key dependencies, equivalent security outcomes, fencing/cutover, rollback feasibility and complete transition teardown.",Migration owner,RA §27,PROV §6; SVC §4; SVC §6,S00,CT-054; CT-060; CT-073; CT-078,Unchanged from v1.2,"Specified, not executed by this release"
OPS-001,"Each service SHALL publish a provider/tenant/shared control responsibility matrix and accountable decision owners for its complete lifecycle, including inherited controls, support access and data disposal.",Service management,RA §20; RA §26,PROV §1; QUAL §3; QUAL §7,S05; S28,CT-019; CT-062; CT-079,Unchanged from v1.2,"Specified, not executed by this release"
OPS-002,"Production handover SHALL include owner/escalation, dependency, SLO/recovery, capacity, monitoring, runbook, support/version and evidence records; privileged access SHALL be reviewed against the actual authority model.",Service management,RA §20; RA §26,PROV §1; QUAL §3; QUAL §7,S00,CT-019; CT-062; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
EXC-001,Every exception SHALL have an accountable risk owner and expiry or review date.,Risk owner,RA §25,PROV §5; PROV §6,S00,CT-058; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
EXC-002,The control plane SHALL surface expired exceptions as non-compliant state rather than allowing them to become permanent undocumented architecture.,Risk owner,RA §25,PROV §5; PROV §6,S00,CT-058; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
EXC-003,"Exceptions SHALL bind requirement IDs, precise scope, effective/expiry times, compensating controls and authorized risk approval; expiry handling SHALL preserve evidence and follow a pre-approved secure continuity/remediation decision.",Risk owner,RA §25,PROV §5; PROV §6,S00,CT-017; CT-058; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
ONB-001,"Onboarding SHALL verify ownership, complete intent/profiles, current qualification/authorization conditions, operational readiness and lifecycle obligations before Service Ready is granted.",Service management,RA §23; RA §28,PROV §4; QUAL §5; QUAL §6; VND §1,S00,CT-017; CT-018; CT-049; CT-062; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
DEL-001,"The reference implementation SHALL demonstrate two-tenant isolation, controlled zone transitions, protected management, service bindings, recovery and retirement on a qualified first platform before scale expansion.",Delivery owner,RA §22; RA §30,GM §3; PROV §2; PROV §3; QUAL §1; QUAL §2; SVC §1,S00,CT-001; CT-003; CT-004; CT-008; CT-013; CT-052; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
DEL-002,Multi-platform portability claims SHALL be supported by the same intent/core conformance outcomes on at least two qualified implementations and by a representative data/application exit rehearsal.,Delivery owner,RA §22; RA §30,GM §3; PROV §2; PROV §3; QUAL §1; QUAL §2; SVC §1,S00,CT-016; CT-060; CT-073,Unchanged from v1.2,"Specified, not executed by this release"
ACPT-001,"Production acceptance SHALL require current evidence for every applicable acceptance criterion, explicit exclusions and risk decisions, operational owner acceptance and a valid separately issued authorization decision.",Security authority,RA §28; RA §30,GM §3; QUAL §1; QUAL §2; QUAL §5; QUAL §6,S04; S05,CT-018; CT-049; CT-062; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
